trade_number,equity_p1_path,equity_p5_path,equity_p95_path
1,9900.0,9860.0,9860.0
2,9945.985401459853,9720.0,9760.0
3,9805.985401459853,9785.408040281947,9777.85928722171
4,9705.985401459853,9975.263112745715,9677.85928722171
5,9713.512283180284,10117.623559932263,9713.95409694392
6,9972.993850000561,9977.623559932263,9781.261007513025
7,9982.525415112146,9993.230496348448,9788.787889233456
8,9995.519765394632,9893.230496348448,9801.11915949576
9,10013.379052616343,9986.517989054226,9835.813482114685
10,10114.248468718546,10047.808311634872,10095.29504893496
11,9974.248468718546,10060.139581897176,10109.594407289826
12,9989.855405134731,9940.139581897176,10141.353630789305
13,9889.855405134731,9962.090801409371,10153.085474364723
14,9967.90121698613,10024.162391716256,10053.085474364723
15,10160.388567724849,10035.097341170507,10169.493439010435
16,10167.915449445278,10448.10247557099,10361.980789749152
17,10245.96126129668,10459.03742502524,10374.312060011458
18,10390.422414178885,10474.405151981513,10441.618970580563
19,10290.422414178885,10523.779684165853,10519.664782431964
20,10396.478086975589,10664.328578850187,10419.664782431964
21,10489.765579681367,10564.328578850187,10459.354840273283
22,10583.053072387147,10424.328578850187,10544.540025458467
23,10723.60196707148,10615.851368212845,10804.021592278743
24,10765.445938702685,10727.675267583913,10996.508943017461
25,10665.445938702685,10828.544683686117,10896.508943017461
26,10750.752434228958,10863.23900630504,11309.514077417944
27,10792.596405860164,11054.761795667699,11345.162033065899
28,10853.886728440808,10954.761795667699,11644.626077793102
29,10871.746015662518,11147.249146406415,11862.08639525342
30,10881.035633148857,11209.3207367133,11947.271580438604
31,10741.035633148857,11274.728776995245,12014.57849100771
32,10751.97058260311,11296.67999650744,12050.67330072992
33,10767.557666818902,11196.67999650744,12095.3207030835
34,10813.543068278756,11456.161563327718,12287.808053822217
35,10855.387039909961,11463.183680845983,12514.30818120056
36,10866.239585423613,11363.183680845983,12414.30818120056
37,10933.54649599272,11263.183680845983,12425.243130654811
38,11034.415912094923,11123.183680845983,12450.087124868853
39,11070.510721817132,11184.474003426629,12486.181934591063
40,11155.695907002317,11325.022898110961,12386.181934591063
41,11055.695907002317,11415.830978919043,12528.542381777608
42,11087.455130501796,11426.683524432694,12669.091276461942
43,11103.06206691798,11286.683524432694,12811.451723648488
44,11193.870147726062,11297.618473886945,13187.642199838965
45,11053.870147726062,11197.618473886945,13047.642199838965
46,10953.870147726062,11263.026514168892,12947.642199838965
47,10995.714119357268,11353.834594976974,12957.17376495055
48,10855.714119357268,11415.812616954996,13216.655331770828
49,10755.714119357268,11315.812616954996,13239.445044561537
50,10791.362075005223,11215.812616954996,13252.439394844023
51,10806.949159221016,11408.299967693712,13382.771881594419
52,10817.969749829563,11414.224453410718,13393.70683104867
53,10836.65750989226,11314.224453410718,13411.56611827038
54,10942.843076902569,11415.09386951292,13291.56611827038
55,11087.830225630507,11454.78392735424,13312.504306677072
56,10987.830225630507,11354.78392735424,13348.599116399282
57,11037.204757814849,11214.78392735424,13366.458403620993
58,11081.852160168428,11114.78392735424,13583.91872108131
59,11092.872750776974,11259.771076082177,13728.451734477834
60,10992.872750776974,11159.771076082177,13628.451734477834
61,11008.459834992767,11059.771076082177,13729.321150580037
62,11017.991400104353,11200.31997076651,13740.256100034288
63,11235.45171756467,11211.981229499592,13802.23412201231
64,11313.49752941607,11111.981229499592,13702.23412201231
65,11358.144931769652,11371.462796319869,13736.928444631234
66,11370.476202031956,11271.462796319869,13636.928444631234
67,11783.48133643244,11280.994361431454,13658.87966414343
68,11927.942489314644,11180.994361431454,13799.428558827762
69,11937.474054426231,11080.994361431454,13811.16040240318
70,12043.65962143654,11221.543256115787,13825.4404370808
71,11903.65962143654,11261.233313957106,13832.462554599066
72,11994.467702244621,11275.51902824282,13885.104581211264
73,12139.000715641145,11175.51902824282,13926.94855284247
74,12150.732559216563,11217.362999874025,13937.801098356122
75,12050.732559216563,11333.770964519737,13958.739286762811
76,12151.601975318768,11233.770964519737,13858.739286762811
77,12296.063128200973,11133.770964519737,13904.724688222666
78,12156.063128200973,11348.80126755004,13920.092415178937
79,12415.54469502125,11989.54200829078,13956.187224901147
80,12675.026261841525,11889.54200829078,13856.187224901147
81,12724.400794025867,11789.54200829078,13868.518495163453
82,12584.400794025867,12016.042135669124,13878.050060275038
83,12444.400794025867,11916.042135669124,13900.001279787233
84,12490.38619548572,11940.886129883163,13961.979301765256
85,12505.993131901905,11840.886129883163,13841.979301765256
86,12365.993131901905,11918.931941734565,14482.720042505996
87,12388.782844692614,11818.931941734565,14895.725176906479
88,12407.470604755312,11843.775935948604,14906.745767515025
89,12472.878645037259,11743.775935948604,14806.745767515025
90,12478.803130754264,11758.055970626225,15033.245894893367
91,12490.534974329683,11618.055970626225,14933.245894893367
92,12497.55709184795,11667.430502810565,14944.977738468788
93,12533.205047495905,11567.430502810565,15089.438891350992
94,12677.666200378111,11784.890820270883,14949.438891350992
95,12689.39804395353,12002.351137731199,14956.461008869257
96,12589.39804395353,12643.09187847194,15031.899608438356
97,12848.879610773807,12659.064098300478,14931.899608438356
98,12861.210881036111,12876.524415760796,15048.307573084068
99,12923.282471342996,12969.811908466574,15064.279792912606
100,12823.282471342996,12976.834025984841,14964.279792912606
101,12965.642918529542,12876.834025984841,14824.279792912606
102,12971.567404246547,12776.834025984841,14885.57011549325
103,12994.357117037258,12787.686571498492,14952.877026062357
104,12854.357117037258,12806.37433156119,15069.284990708069
105,12906.999143649455,12951.361480289128,15199.617477458465
106,12959.641170261653,12960.893045400713,15235.712287180675
107,12819.641170261653,12971.91363600926,15267.471510680154
108,12841.592389773848,13057.098821194446,15167.471510680154
109,12873.351613273328,13064.625702914875,15216.846042864494
110,12884.204158786979,13114.000235099216,15361.37905626102
111,12744.204158786979,13179.408275381164,15370.910621372605
112,12644.204158786979,13079.408275381164,15391.848809779294
113,12836.691509525695,13146.715185950268,15407.821029607832
114,12850.971544203314,13046.715185950268,15524.228994253546
115,12730.971544203314,13057.65013540452,15539.835930669731
116,12610.971544203314,13064.672252922785,15799.317497490007
117,12510.971544203314,12924.672252922785,15679.317497490007
118,12532.922763715509,13116.195042285442,15690.338088098553
119,12594.213086296155,13162.180443745297,15796.393760895258
120,12724.545573046551,13183.118632151989,15861.801801177204
121,12747.33528583726,13398.148935182291,16079.262118637522
122,12891.868299233785,13542.681948578815,16123.909520991103
123,12901.39986434537,13551.971566065155,15983.909520991103
124,12976.838463914468,13451.971566065155,16176.39687172982
125,13083.024030924778,13331.971566065155,16321.384020457757
126,13168.209216109963,13344.302836327459,16221.384020457757
127,13235.51612667907,13535.825625690117,16232.318969912008
128,13376.065021363402,13435.825625690117,16265.341203548724
129,13385.354638849742,13335.825625690117,16165.341203548724
130,13285.354638849742,13360.669619904156,16310.328352276661
131,13330.002041203321,13220.669619904156,16951.069093017402
132,13345.369768159593,13233.663970186642,16851.069093017402
133,13205.369768159593,13378.125123068847,16751.069093017402
134,13105.369768159593,13422.772525422428,16773.0203125296
135,13117.101611735012,13322.772525422428,16819.005713989452
136,13128.83345531043,13338.1402523787,16832.00006427194
137,13271.193902496978,13349.872095954119,16842.93501372619
138,13387.60186714269,13209.872095954119,16848.859499443195
139,13247.60186714269,13427.332413414437,16748.859499443195
140,13507.083433962966,13505.378225265837,16648.859499443195
141,13528.021622369657,13552.818855615475,16548.859499443195
142,13428.021622369657,13567.104569901188,16741.34685018191
143,13328.021622369657,13427.104569901188,16621.34685018191
144,13627.48566709686,13327.104569901188,16766.33399890985
145,13768.034561781193,13338.125160509735,16872.51956592016
146,13628.034561781193,13382.772562863316,16917.16696827374
147,13773.02171050913,13418.867372585526,16777.16696827374
148,13673.02171050913,13442.922872275993,16677.16696827374
149,13682.31132799547,13510.2297828451,16710.189201910456
150,13827.298476723408,13370.2297828451,16570.189201910456
151,13727.298476723408,13384.529141199964,16470.189201910456
152,13762.946432371364,13398.82849955483,16488.04848913217
153,13893.27891912176,13298.82849955483,16618.380975882563
154,13904.213868576011,13314.435435971014,16994.57145207304
155,14010.399435586321,13381.74234654012,16894.57145207304
156,14017.421553104587,13526.203499422325,16794.57145207304
157,14070.063579716785,13426.203499422325,16829.265774691965
158,13970.063579716785,13440.502857777192,16843.565133046828
159,14081.887479087854,13340.502857777192,16988.026285929034
160,14149.194389656961,13425.809353303463,16888.026285929034
161,14164.562116613233,13652.309480681806,17032.55929932556
162,14175.58270722178,13714.287502659829,16932.55929932556
163,14075.58270722178,13854.836397344161,17345.564433726042
164,14142.889617790885,13902.277027693799,17380.258756344963
165,14208.297658072832,13936.971350312724,17280.258756344963
166,14338.63014482323,13978.815321943928,17495.289059375267
167,14349.650735431776,13878.815321943928,17509.569094052888
168,14411.628757409799,13893.114680298793,17610.43851015509
169,14477.036797691744,13793.114680298793,17510.43851015509
170,14377.036797691744,13810.973967520506,17616.6240771654
171,14277.036797691744,13917.159534530814,17757.172971849734
172,14323.0221991516,13926.6910996424,17657.172971849734
173,14183.0221991516,13826.6910996424,17668.90481542515
174,14196.016549434085,13971.152252524606,17730.195138005798
175,14211.603633649878,13982.813511257687,17748.054425227507
176,14247.698443372088,13842.813511257687,17758.989374681758
177,14271.753943062555,13948.999078267996,17774.35710163803
178,14362.562023870636,13994.98447972785,17867.64459434381
179,14371.851641356974,14019.039979418318,17984.052558989522
180,14381.141258843314,14245.54010679666,18028.699961343103
181,14420.831316684633,14145.54010679666,17888.699961343103
182,14610.6863891484,14005.54010679666,17979.50804215118
183,14660.06092133274,14016.47505625091,18064.814537677456
184,14671.792764908161,14081.883096532858,18089.658531891495
185,14733.864355215044,14099.742383754568,18195.7142046882
186,14749.451439430837,14114.022418432189,18495.178249415403
187,14609.451439430837,14132.710178494886,18375.178249415403
188,14670.741762011483,14032.710178494886,18601.678376793745
189,14570.741762011483,14048.682398323424,18501.678376793745
190,14606.836571733693,14266.14271578374,18401.678376793745
191,14466.836571733693,14166.14271578374,18415.977735148612
192,14326.836571733693,14066.14271578374,18315.977735148612
193,14739.841706134175,14151.327900968925,18330.263449434326
194,14639.841706134175,14564.33303536941,18190.263449434326
195,14539.841706134175,14464.33303536941,18283.550942140104
196,14601.91329644106,14557.62052807519,18183.550942140104
197,14702.782712543263,14437.62052807519,18259.41523221729
198,14737.477035162185,14473.7153377974,18352.702724923067
199,14748.329580675836,14489.083064753671,18443.510805731145
200,14759.990839408918,14574.268249938856,18476.533039367863
201,14659.990839408918,14583.79981505044,18495.22079943056
202,14712.632866021117,14483.79981505044,18601.406366440868
203,14853.18176070545,14515.55903854992,18746.393515168806
204,14871.869520768149,14657.919485736466,18755.683132655147
205,14907.517476416102,14733.783775813648,18615.683132655147
206,14943.16543206406,14878.316789210174,18515.683132655147
207,15202.646998884335,14963.50197439536,18415.683132655147
208,15102.646998884335,15069.557647192063,18431.655352483685
209,15108.57148460134,14949.557647192063,18509.701164335085
210,14968.57148460134,14955.482132909068,18409.701164335085
211,14979.506434055591,14973.341420130779,18449.391222176404
212,14859.506434055591,15117.874433527304,18534.576407361586
213,15004.039447452116,15017.874433527304,18434.576407361586
214,14864.039447452116,14877.874433527304,18448.875765716453
215,14926.017469430139,14757.874433527304,18469.813954123143
216,14826.017469430139,14657.874433527304,18349.813954123143
217,14726.017469430139,14690.89666716402,18466.221918768857
218,14837.841368801208,14908.356984624337,18366.221918768857
219,14737.841368801208,14915.883866344768,18433.528829337964
220,14823.026553986392,14923.410748065198,18293.528829337964
221,15236.031688386876,14968.05815041878,18304.381374851615
222,15314.077500238276,14990.009369930973,18371.68828542072
223,15350.172309960486,14997.03148744924,18384.019555683026
224,15210.172309960486,15011.31152212686,18399.60663989882
225,15110.172309960486,15026.898606342653,18431.3658633983
226,15119.703875072071,15112.205101868924,18576.353012126237
227,15131.365133805153,15302.060174332692,18589.34736240872
228,14991.365133805153,15162.060174332692,18489.34736240872
229,14891.365133805153,15062.060174332692,18389.34736240872
230,14791.365133805153,14962.060174332692,18474.532547593906
231,14853.436724112038,14998.154984054901,18495.4707360006
232,14869.043660528223,15142.616136937108,18507.202579576016
233,14883.343018883088,15164.567356449303,18529.992292366725
234,14959.20730896027,15064.567356449303,18942.997426767208
235,14970.939152535691,15125.857679029948,19085.357873953755
236,15076.994825332395,15270.318831912153,19092.379991472022
237,14976.994825332395,15415.30598064009,18992.379991472022
238,14876.994825332395,15295.30598064009,19137.36714019996
239,14922.98022679225,15319.361480330557,18997.36714019996
240,14782.98022679225,15354.055802949482,18897.36714019996
241,14682.98022679225,15580.555930327824,18797.36714019996
242,14582.98022679225,15460.555930327824,18859.438730506845
243,14597.279585147115,15360.555930327824,18759.438730506845
244,14497.279585147115,15260.555930327824,18619.438730506845
245,14530.301818783832,15272.287773903243,18664.086132860422
246,14551.240007190521,15337.69581418519,18673.375750346764
247,14451.240007190521,15405.002724754297,18758.682245873035
248,14467.21222701906,15419.302083109162,18903.215259269557
249,14478.94407059448,15279.302083109162,18942.905317110875
250,14378.94407059448,15340.592405689807,19132.760389574643
251,14390.675914169897,15376.687215412017,19167.45471219357
252,14650.157480990174,15276.687215412017,19311.987725590094
253,14510.157480990174,15382.872782422326,19364.62975220229
254,14521.889324565593,15262.872782422326,19554.48482466606
255,14537.257051521865,15162.872782422326,19414.48482466606
256,14576.947109363184,15240.918594273728,19481.791735235165
257,14652.385708932281,15253.912944556214,19494.78608551765
258,14512.385708932281,15266.9072948387,19530.43404116561
259,14574.363730910303,15679.912429239183,19722.921391904325
260,14766.85108164902,15791.736328610252,19937.951694934625
261,14778.58292522444,15691.736328610252,20152.98199796493
262,14678.58292522444,15707.343265026437,20168.954217793467
263,14769.39100603252,15713.267750743442,20581.95935219395
264,14790.329194439211,15748.915706391397,20593.691195769366
265,14690.329194439211,15648.915706391397,20738.22420916589
266,14590.329194439211,15760.739605762466,21151.229343566374
267,14683.61668714499,16401.48034650321,21162.961187141795
268,14690.638804663256,16546.467495231147,21238.399786710892
269,14704.938163018121,16446.467495231147,21245.926668431322
270,14715.790708531773,16346.467495231145,21258.92101871381
271,14722.812826050038,16246.467495231145,21365.10658572412
272,14784.103148630684,16262.439715059683,21426.396908304763
273,14644.103148630684,16297.134037678607,21306.396908304763
274,14659.470875586956,16311.414072356227,21947.137649045504
275,14851.958226325673,16191.414072356227,21965.8254091082
276,14711.958226325673,16051.414072356227,21990.66940332224
277,14724.289496587977,16181.746559106623,21890.66940332224
278,14742.148783809687,16243.036881687269,21951.95972590289
279,14602.148783809687,16248.961367404274,22052.82914200509
280,14502.148783809687,16264.933587232812,22094.673113636294
281,14362.148783809687,16124.933587232812,22105.52565914995
282,14262.148783809687,16166.777558864018,22332.02578652829
283,14122.148783809687,16234.084469433123,22476.486939410497
284,14381.630350629963,16134.084469433123,22852.677415600974
285,14466.815535815149,16158.928463647164,22862.20898071256
286,14611.276688697355,16165.950581165429,22947.394165897742
287,14471.276688697355,16065.950581165429,23087.943060582074
288,14483.60795895966,16098.972814802146,23314.44318796042
289,14343.60795895966,15958.972814802146,23330.050124376605
290,14203.60795895966,15858.972814802146,23230.050124376605
291,14264.898281540303,15758.972814802146,23375.037273104543
292,14355.706362348385,15808.347346986488,23751.22774929502
293,14255.706362348385,15708.347346986488,23966.258052325324
294,14273.565649570093,15608.347346986488,24110.791065721845
295,14285.896919832398,15619.199892500139,24255.25221860405
296,14145.896919832398,15878.681459320414,24266.272809212598
297,14190.544322185979,15778.681459320414,24313.713439562238
298,14090.544322185979,15890.505358691484,24173.713439562238
299,13990.544322185979,15790.505358691484,24241.020350131344
300,14035.19172453956,15920.837845441882,24256.607434347137
301,13935.19172453956,15928.364727162312,24288.366657846615
302,13835.19172453956,16154.864854540654,24188.366657846615
303,13735.19172453956,16200.850256000507,24202.646692524235
304,13753.051011761268,16306.905928797212,24227.490686738274
305,13799.036413221123,16166.905928797212,24087.490686738274
306,13814.623497436916,16026.905928797212,24123.585496460484
307,13830.230433853101,15926.905928797212,24147.64099615095
308,13921.038514661182,15979.547955409409,24047.64099615095
309,13781.038514661182,16095.955920055123,24265.101313611267
310,13866.223699846367,16110.255278409988,24282.96060083298
311,13912.209101306222,16128.114565631698,24142.96060083298
312,13927.816037722407,16228.983981733902,24042.96060083298
313,13943.788257550945,16359.3164684843,23942.96060083298
314,14088.775406278883,16259.3164684843,23954.6924444084
315,13968.775406278883,16159.3164684843,24030.55673448558
316,13981.769756561369,16170.169013997951,23930.55673448558
317,14027.755158021222,16188.856774060649,23946.163670901766
318,13927.755158021222,16204.443858276441,23806.163670901766
319,14012.940343206408,16320.851822922152,24105.62771562897
320,14230.400660666724,16355.546145541077,24124.315475691667
321,14489.882227487002,16215.546145541077,24264.864370376
322,14511.833446999197,16095.546145541077,24164.864370376
323,14703.356236361855,15995.546145541077,24309.39738377252
324,14717.641950647569,15855.546145541077,24449.946278456853
325,14767.01648283191,15755.546145541077,24484.64060107578
326,14667.01648283191,15766.566736149623,24629.627749803716
327,14797.348969582306,15782.538955978162,24822.115100542433
328,14809.080813157725,15798.5111758067,24897.979390619614
329,14709.080813157725,16057.992742626975,24797.979390619614
330,14926.541130618043,16082.048242317444,24697.979390619614
331,14944.400417839752,16087.972728034449,24804.03506341632
332,15088.861570721958,16277.827800498217,24819.62214763211
333,15179.66965153004,16654.018276688694,24832.616497914598
334,15195.641871358577,16663.549841800275,24885.2585245268
335,15075.641871358577,16696.572075436994,24976.066605334876
336,15375.105916085779,16596.572075436994,25191.09690836518
337,15410.753871733734,16681.75726062218,25204.091258647666
338,15488.799683585134,16798.16522526789,25269.499298929615
339,15510.75090309733,16859.455547848534,25169.499298929615
340,15535.59489731137,17003.91670073074,25218.873831113953
341,15676.143791995702,17021.775987952453,25230.535089847035
342,15743.450702564809,17033.50783152787,25291.82541242768
343,15828.757198091082,17409.698307718347,25551.30697924796
344,15839.692147545333,17521.522207089416,25603.94900586016
345,15874.386470164256,17546.366201303455,25681.99481771156
346,15952.432282015656,17588.21017293466,25692.84736322521
347,15852.432282015656,17694.395739944972,25734.691334856416
348,15905.074308627854,17779.580925130158,25634.691334856416
349,16005.943724730058,17872.868417835936,25650.059061812688
350,15905.943724730058,17772.868417835936,25686.153871534898
351,16050.930873457995,17866.155910541715,25566.153871534898
352,15950.930873457995,17877.817169274796,25466.153871534898
353,15968.790160679706,17930.459195886993,25606.70276621923
354,16044.228760248803,17944.75855424186,25737.03525296963
355,16684.969500989544,17804.75855424186,25822.220438154814
356,16544.969500989544,17826.709773754057,25829.74731987524
357,16555.822046503195,17902.148373323154,25729.74731987524
358,16455.822046503195,17916.434087608868,25805.185919444342
359,16673.282363963513,17816.434087608868,25685.185919444342
360,16533.282363963513,17946.766574359266,25706.124107851036
361,16678.26951269145,18089.127021545813,25721.731044267217
362,16820.629959878,17989.127021545813,25797.5953343444
363,16720.629959878,18013.182521236282,25807.126899455987
364,16620.629959878,18029.15474106482,25707.126899455987
365,16520.629959878,18114.339926250002,25567.126899455987
366,16420.629959878,18014.339926250002,25600.149133092702
367,16537.03792452371,18120.525493260313,25676.013423169887
368,16437.03792452371,18221.394909362516,25751.87771324707
369,16297.037924523709,18288.701819931623,25767.484649663253
370,16346.41245670805,18301.033090193927,25897.81713641365
371,16359.406806990537,18335.72741281285,25983.123631939925
372,16375.013743406722,18420.912597998034,25883.123631939925
373,16382.035860924989,18427.934715516298,25895.45490220223
374,16758.226337115462,18327.934715516298,26110.485205232533
375,16782.28183680593,18362.629038135223,25970.485205232533
376,16789.303954324198,18222.629038135223,26115.47235396047
377,16831.147925955403,18122.629038135223,26126.407303414722
378,16906.5865255245,17982.629038135223,26171.054705768303
379,16766.5865255245,18044.607060113245,26051.054705768303
380,16646.5865255245,18062.466347334957,25911.054705768303
381,16671.43051973854,18074.198190910374,26041.3871925187
382,16571.43051973854,18085.859449643456,25941.3871925187
383,16431.43051973854,17985.859449643456,26354.392326919184
384,16331.430519738542,18362.049925833933,26360.31681263619
385,16367.525329460752,18262.049925833933,26500.86570732052
386,16452.710514645936,18162.049925833933,26545.513109674102
387,16312.710514645936,18211.42445801827,26405.513109674102
388,16725.71564904642,18243.183681517752,26305.513109674102
389,16831.771321843124,18252.47329900409,26417.33700904517
390,16907.20992141222,18299.91392935373,26533.744973690886
391,16807.20992141222,18310.934519962277,26609.183573259983
392,16872.61796169417,18376.342560244222,26799.03864572375
393,17017.079114576376,18276.342560244222,26848.413177908093
394,17161.54026745858,18136.342560244222,26978.74566465849
395,17277.948232104292,18197.632882824866,26989.766255267037
396,17288.883181558544,18215.49217004658,27051.05657784768
397,17333.530583912125,18115.49217004658,27098.497208197317
398,17379.515985371978,18140.336164260618,27122.552707887786
399,17279.515985371978,18182.180135891824,27147.396702101825
400,17312.538219008697,18082.180135891824,27047.396702101825
401,17172.538219008697,17982.180135891824,27239.88405284054
402,17239.8451295778,18024.02410752303,27139.88405284054
403,17099.8451295778,18065.868079154236,27201.174375421186
404,16959.8451295778,18177.691978525305,27277.03866549837
405,16975.452065993984,18322.15313140751,27288.699924231452
406,17105.784552744382,18329.68001312794,27188.699924231452
407,17005.784552744382,18335.604498844947,27273.88510941664
408,17051.769954204236,18195.604498844947,27466.372460155355
409,17127.208553773336,18495.06854357215,27557.180540963436
410,17027.208553773336,18511.040763400688,27437.180540963436
411,17139.032453144406,18550.730821242007,27337.180540963436
412,17039.032453144406,18410.730821242007,27237.180540963436
413,16939.032453144406,18476.138861523956,27246.71210607502
414,17083.493606026608,18775.60290625116,27146.71210607502
415,17095.22544960203,18821.588307711012,27222.15070564412
416,16995.22544960203,18721.588307711012,27253.909929143596
417,17017.176669114222,18732.44085322466,27513.39149596387
418,17157.725563798558,18748.04778964085,27591.43730781527
419,17057.725563798558,19161.05292404133,27624.459541451986
420,16957.725563798558,19021.05292404133,27754.792028202384
421,16965.252445518985,19073.69495065353,27944.647100666152
422,16980.83952973478,19081.221832373958,27844.647100666152
423,17042.129852315426,19103.173051886155,27869.49109488019
424,17682.870593056166,19147.820454239736,28059.34616734396
425,17758.309192625264,19292.807602967674,28068.877732455545
426,17776.168479846972,19393.677019069877,28146.923544306945
427,17636.168479846972,19414.61520747657,28194.36417465658
428,17496.168479846972,19314.61520747657,28206.025433389663
429,17686.02355231074,19335.55339588326,28291.331928915934
430,17696.958501764995,19356.49158428995,28191.331928915934
431,17775.004313616395,19256.49158428995,28240.706461100275
432,17675.004313616395,19156.49158428995,28385.693609828213
433,17693.692073679093,19180.54708398042,28425.383667669532
434,17593.692073679093,19040.54708398042,28449.43916736
435,17969.882549869566,19076.64189370263,28460.459757968547
436,18002.904783506285,19269.129244441345,28652.947108707263
437,17882.904783506285,19344.567844010446,28552.947108707263
438,17917.599106125206,19489.554992738384,28432.947108707263
439,17817.599106125206,19634.01614562059,28577.48012210379
440,17827.130671236795,19641.038263138853,28589.14138083687
441,17707.130671236795,19501.038263138853,28469.14138083687
442,17716.420288723133,19512.77010671427,28487.00066805858
443,17616.420288723133,19412.77010671427,28562.439267627677
444,17476.420288723133,19445.79234035099,28647.745763153947
445,17490.719647077996,19637.315129713646,28865.206080614265
446,17390.719647077996,19537.315129713646,28966.07549671647
447,17491.589063180203,19728.837919076304,29027.365819297112
448,17867.779539370677,19814.02310426149,28927.365819297112
449,17767.779539370677,19827.017454543973,28949.317038809306
450,17853.08603489695,19860.039688180692,28974.161033023345
451,17899.071436356804,19760.039688180692,28985.892876598766
452,17932.09366999352,19660.039688180692,28845.892876598766
453,18158.593797371865,19722.111278487577,29037.415665961424
454,18018.593797371865,19768.09667994743,28937.415665961424
455,17878.593797371865,19668.09667994743,28797.415665961424
456,17778.593797371865,19709.940651578636,28677.415665961424
457,17823.241199725446,19609.940651578636,28702.259660175463
458,17908.547695251717,19621.601910311718,28602.259660175463
459,18024.95565989743,19521.601910311718,28627.103654389502
460,18030.880145614436,19638.00987495743,28638.835497964923
461,17890.880145614436,19653.3776019137,28831.32284870364
462,17790.880145614436,19667.676960268567,28973.683295890187
463,17902.704044985505,19676.966577754905,28873.683295890187
464,18047.691193713443,19576.966577754905,28979.868862900497
465,18423.881669903916,19587.987168363452,29002.658575691206
466,18323.881669903916,19633.972569823305,29016.938610368827
467,18365.725641535122,19493.972569823305,29032.3063373251
468,18265.725641535122,19353.972569823305,29177.293486053037
469,18165.725641535122,19401.413200172945,29077.293486053037
470,18045.725641535122,19627.913327551287,29086.825051164622
471,17945.725641535122,19703.777617628468,28946.825051164622
